title,news,author,link,img_link,Source,summary
Live Updates: Zelensky Says U.S. Secretary of State Will Visit Kyiv; Missiles Hit Odesa,"A Soviet-era monument in Chisinau, the capital of Moldova, in March. The war in Ukraine has stoked fears in Moldova of renewed pressures from Russia.

CHISINAU, Moldova — Before war erupted next door, Moldovans had big plans for their country.

But the Russian invasion of Ukraine put Moldova, a former Soviet republic and one of Europe’s poorest nations, in an extremely vulnerable situation, threatening its economic development, straining its society with waves of refugees and evoking existential fears of yet another Russian occupation.

The war jitters are also adding another chapter to Moldova’s long and increasingly desperate effort to untangle itself from Moscow’s clutches. In pursuit of that, it recently applied to join the European Union, but the prospect of gaining admission anytime soon is remote.

“We are a fragile country in a fragile region,” said Maia Sandu, Moldova’s president, in an interview.

Moldovans’ fears swelled anew on Friday, when a Russian general said his country’s military now plans to seize the entire southern coast of Ukraine. That would establish a land bridge from Russia in the east to Transnistria, a heavily armed, breakaway region in Moldova’s east — bordering Ukraine — that is controlled by Russia.

Image Mimi Castel, a 19th-century winery operated by Adrian Trofim, in Bulboaca, Moldova, in April. Repercussions from the war in Ukraine have taken a heavy toll on the business. Credit... Cristian Movila for The New York Times

Whether Russia has the wherewithal to swallow up such a large stretch of Ukrainian territory is debatable, especially in view of the enormous losses its military suffered in the battle for Kyiv. But whether real or just an effort to stir up trouble in the region, the Moldovans are taking the general’s threat seriously.

The Moldovan government has long been nervous about Transnistria, a thin sliver of territory that is controlled by at least 12,000 separatists and Russian troops. Since the war erupted, the Moldovan and Ukrainian militaries have faced the extra concern of whether the Transnistrians were going to jump into the battle and start attacking Ukraine from the west. So far, that has not happened.

Tucked between Romania and Ukraine, Moldova is tiny — with less than three million people — and for centuries has been torn between greater powers: first the Ottomans and Russia, and now Europe and Russia. The theme, clearly, is Russia, and Russia does not want to let it go.

Image The cellars at Mr. Trofim’s winery in April. He said that almost half of his business depended on Russia, Ukraine and Belarus. Credit... Cristian Movila for The New York Times

Moscow exerts a stranglehold over nearly 100 percent of Moldova’s energy supply. And the Kremlin is constantly trying to stir up Moldova’s many Russian speakers who are susceptible to its propaganda, especially in Transnistria.

That is what seemed to have happened on Friday, when, according to the Russian news media, Maj. Gen. Rustam Minnekayev said, “Russian control over the south of Ukraine is another way out to Transnistria, where there are cases of Russian-speaking people being oppressed.”

The Moldovan government immediately summoned the Russian ambassador to complain about the general’s statement, saying it was “not only unacceptable but also unfounded” and led to “increased tension.”

For Ms. Sandu, 49, the country’s first female president, it was another hurdle along a dangerous pathway she has been trying to navigate since the crisis began.

Moldova has condemned Russia’s invasion of Ukraine and barred Moldovans from sticking pro-Russia symbols on their cars. At the same time, the country did not fully join the European Union’s sanctions on Russia, for fear of being cut off from Russian gas.

Image President Maia Sandu of Moldova at her office in Chisinau. “We are a fragile country in a fragile region,” she said. Credit... Cristian Movila for The New York Times

“No one said it was going to be easy,” Ms. Sandu, 49, said from her office on Stefan cel Mare, the grand boulevard in the capital, Chisinau, that cuts past a patchwork of hulking, Soviet-style office buildings. “But no one said it was going to be this hard.”

The war has been hard not only on her but on most everyone here. Before the hostilities started, Adrian Trofim, whose family owns a 19th-century countryside winery and resort, thought that he was finally catching a break after two years of struggling during the coronavirus pandemic. He was adding a wing to the hotel, setting up a spa focused on wine-based treatments and gearing up to produce a sparkling wine.

But now his operations have fallen into peril. Brandy worth a quarter of a million dollars that he needs to ship to Belarus has been blocked in his warehouses. His regular Ukrainian customers have no way of paying him, costing him several more hundreds of thousands of dollars. And he cannot ship his chardonnays to China, one of his new markets, because the port in Odesa, Ukraine, that he uses for exports shut down as soon as the first bombs fell in February.

Image The Moldovan police near Palanca, along the border with Ukraine, in April. The breakaway, pro-Russian statelet of Transnistria accounts for much of that border. Credit... Cristian Movila for The New York Times

“I don’t know what to do,” said Mr. Trofim, who may soon have to lay off almost half of his staff. “Everything is frozen until we understand how to live with this situation.”

It could be a while. When the war began in Ukraine, residents of Chisinau said they were awakened by the sounds of not-so-far-off explosions. Then Ukrainian refugees started streaming in — more than 400,000 have arrived, Moldovan officials have said — putting a severe strain on public services in a country where the average annual income is less than $6,000.

Prices for basic goods then shot up as supply chains were disrupted. And business owners had to persuade their employees, terrified that the war might cross into Moldova, not to flee the country, following the hundreds of thousands of Moldovans who moved abroad in the past decade.

Image A small grocery in Roghi, Moldova, in March. Since the start of the war in Ukraine, prices for basic goods have soared in Moldova and supply chains have been disrupted. Credit... Laetitia Vancon for The New York Times

“We were already considered a high risk,” said Carmina Vicol, the head of the American Chamber of Commerce in Moldova. “We had just started convincing investors to take a shot on us. Now everyone has backed out.”

It is not all bad news. Some Ukrainian companies are considering moving to Moldova, in search of a safer environment. And with all of the foreign dignitaries (and news crews) swooping in, its international profile has received a lift, leading the government last month to rebrand Moldova as “a small country with a big heart.”

Many Russians discovered that big heart long ago. During Soviet times, retired officers flocked to Moldova, drawn by the scenery, good food and sunshine. After the Soviet Union collapsed, the country was run by pro-Russian elites, who kept strong links with Moscow, especially regarding energy.

Moldova receives all its gas from companies controlled by Russia. And even though Moldovan leaders have talked a big game about weaning the country off Russian gas and getting energy from other countries like Azerbaijan, Turkey and Romania, none of those, at the moment, could come close to what Russia provides.

Image Moldova relies on Russian companies for all of its natural gas supplies, making it vulnerable to pressure from Moscow. Credit... Cristian Movila for The New York Times

And so Russia continues to use its sway over gas prices to push Moldova around. Russia has intimated, for instance, that it would lower prices if Moldova agreed to make concessions on Transnistria, which Moldova has refused.

Moldova’s twin problems, of energy and Transnistria, are interconnected. In the Soviet era, Moldova’s biggest power plant, and its two biggest gas-pumping stations, were built in Transnistria.

“If you look at the map, it doesn’t make sense,” said Victor Parlicov, an energy analyst and a former government official. “It was built this way in case Moldova would try to pursue its own path.”

Transnistria has its own flag, complete with a Soviet-style hammer and sickle, and a separate identity from the rest of Moldova. Its roots go back to the 1920s, when the Soviet Union carved out a small republic in the same area, before incorporating parts of it into the Moldavian Soviet Socialist Republic during World War II.” Mr. Parlicov said that this fit a pattern of the Soviet authorities reshaping the borders of republics against historical realities, which created the potential for conflict.

Transnistria’s situation mirrors that of Ukraine’s Donbas region, where Russia-backed separatists rebelled after the anti-Russian 2014 rebellion, setting off a chain of events that led to war. Transnistria also complicates Moldova’s aspirations to join the European Union.

Image Russian troops in March at the entrance to the village of Varnita, in Transnistria, a breakaway region in eastern Moldova. Credit... Laetitia Vancon for The New York Times

“We’d be happy to be part of the E.U.,” said Serghei Diaconu, the deputy interior minister. But, he added, half-jokingly, Transnistria was “a big pain” that could discourage the E.U. from accepting Moldova.

Joining NATO would be an even taller order. Neutrality is enshrined in Moldova’s constitution, a holdover from the early 1990s, when it tried to stand on its own without antagonizing Russia. Now, Moldova’s leaders are questioning the wisdom of that approach.

“If you ask me whether neutrality is going to keep us safe, I don’t know,” said Ms. Sandu, the president. “It did not help over the last three decades to convince Russia to take its troops out of the country.”

The geopolitical tightrope the country is forced to walk, in the eyes of many Moldovans, means its future is intertwined with Russia’s. Mr. Trofim, the winemaker, for one, said that almost half of his business depended on Russia, Ukraine and Belarus.

As he looked at the winery’s vast, neat gardens, empty but for a few visitors, he said that he was appalled by what Russia had done in Ukraine, but that he could not condemn anyone forever.

“I cannot say I will never do business with Russia,” Mr. Trofim said. “It is a matter of the well-being of my company.”","Anton Troianovski, Cassandra Vinograd, Marc Santora, Victoria Kim, Alexandra Petri, Andrea Kannapell, Farnaz Fassihi, Ivan Nechepurenko",https://www.nytimes.com/live/2022/04/23/world/ukraine-russia-war-news/russia-opens-a-criminal-case-accusing-a-pro-democracy-activist-of-spreading-false-information-about-the-war,https://static01.nyt.com/images/2022/04/22/world/22ukraine-blog-kara-murza/22ukraine-blog-kara-murza-facebookJumbo.jpg,NYTimes,"A Soviet-era monument in Chisinau, the capital of Moldova, in March. Gen. Rustam Minnekayev said, “Russian control over the south of Ukraine is another way out to Transnistria, where there are cases of Russian-speaking people being oppressed.” Credit... Cristian Movila for The New York Times

“No one said it was going to be easy,” Ms. Sandu, 49, said from her office on Stefan cel Mare, the grand boulevard in the capital, Chisinau, that cuts past a patchwork of hulking, Soviet-style office buildings. “ Before the hostilities started, Adrian Trofim, whose family owns a 19th-century countryside winery and resort, thought that he was finally catching a break after two years of struggling during the coronavirus pandemic. Brandy worth a quarter of a million dollars that he needs to ship to Belarus has been blocked in his warehouses. Image The Moldovan police near Palanca, along the border with Ukraine, in April. Transnistria also complicates Moldova’s aspirations to join the European Union. Joining NATO would be an even taller order. “I cannot say I will never do business with Russia,” Mr. Trofim said. “"
Mask Ruling Underscores Deep Split in Attitudes,"Wearing masks during the pandemic has long been a divisive issue in the United States. And now that a federal judge has tossed out the mask mandate for planes and public transportation, rules in some places have been thrown into chaos. Many were lifted, and a few reimposed.

But even as the changes cause some confusion, Americans’ attitudes toward the restrictions have wavered little in recent months and, in fact, are still impassioned. Some who are already in the habit of masking in public and see Covid-19 cases rising again in parts of the country are angry at losing the protection they have relied on. Others are elated by the release from those irritating bands behind their ears.

“Ecstatic” was the way Patrick McDonnell, a 30-year-old architect from Brooklyn, described his feelings, adding, “Enough is enough.” Mr. McDonnell said he found wearing a mask “annoying” and “uncomfortable” and has already stopped masking on the New York City subway, even though face coverings are still required on mass transit in the city.

“Adults should be able to make their own decisions regarding the risks they’re willing to take,” Mr. McDonnell said. As for masking for the sake of fellow riders who are older or in poor health, he said that vaccines and treatments are now available for Covid-19, and he should no longer have to alter his behavior to accommodate others.","Roni Caryn Rabin, Emily Erdos",https://www.nytimes.com/2022/04/23/health/mask-mandate-transportation-response.html,https://static01.nyt.com/images/2022/04/23/science/23VIRUS-VOICES-MASKS1/23VIRUS-VOICES-MASKS1-facebookJumbo.jpg,NYTimes,"Wearing masks during the pandemic has long been a divisive issue in the United States. As for masking for the sake of fellow riders who are older or in poor health, he said that vaccines and treatments are now available for Covid-19, and he should no longer have to alter his behavior to accommodate others."
"A ‘Catalyst’ From the Start, Miguel Cabrera Reaches 3,000 Hits","The very best players make a manager want to change the rules. Specifically, one rule: that pesky requirement for a lineup, which mandates that each hitter take his turn. When Miguel Cabrera is on your team, the waiting is the hardest part.

“I wish he could have come to bat every inning,” said Jack McKeon, 91, on the phone this week from his home in North Carolina. “He’d hit a sacrifice fly, he’d hit a home run, he’d get a base hit, even to the point where he hit the ground ball that what’s-his-name booted in the Bartman game. He was the catalyst. Something good was happening with this guy.”

Cabrera was 20 years old, playing for the then-Florida Marlins, when his bouncer flummoxed Chicago Cubs shortstop Alex Gonzalez in the fateful sixth game of the 2003 National League Championship Series. The error helped turn Steve Bartman — a fan who deflected a foul ball down the left-field line earlier in the inning — from a footnote to a focal point as the Marlins stormed to the World Series with wins in Games 6 and 7.",Tyler Kepner,https://www.nytimes.com/2022/04/23/sports/baseball/miguel-cabrera-3000-hits.html,https://static01.nyt.com/images/2022/04/23/multimedia/23kepner-cabrera-sub2/23kepner-cabrera-sub2-facebookJumbo.jpg,NYTimes,"The very best players make a manager want to change the rules. He’d hit a sacrifice fly, he’d hit a home run, he’d get a base hit, even to the point where he hit the ground ball that what’s-his-name booted in the Bartman game."
'It wasn't a good feeling': An NFL player says he was turned away from a French restaurant in Atlanta due to his attire,"Atlanta Falcons defensive end Grady Jarrett (97) walks off the field after an NFL football game against the New Orleans Saints, Sunday, Jan. 9, 2022, in Atlanta. AP Photo/Danny Karnik

Atlanta Falcons player Grady Jarrett was denied entry to an Atlanta restaurant earlier this week.

Jarrett called out Le Bilboquet in a now-deleted Instagram post, local news reported.

""You ever see someone working [out] in a full Gucci suit?"" he told WXIA-TV.

An NFL player says he was denied entry into an Atlanta restaurant earlier this week due to his attire, according to reports.

Atlanta Falcons defensive end Grady Jarrett claimed that Le Bilboquet, a French restaurant located in Buckhead, turned him away on Wednesday in a now-deleted Instagram post, WSB-TV reported.

According to the report, the football player was donning a casual Gucci tracksuit worth thousand of dollars and a tennis chain when the incident happened.

The outlet noted that in his post Jarrett said other people inside the establishment were dressed in T-shirts and sweatsuits. A photo of Jarrett's outfit was shared on Twitter by WSB-TV reporter Audrey Washington.

""It wasn't a good feeling,"" Jarrett told the outlet.

According to Le Bilboquet's policies, athletic and beach attire, sweatpants, baseball caps, cut denim, and flip flops are prohibited.

""You ever see someone working [out] in a full Gucci suit?"" Jarett said, per WXIA-TV. ""I'm an athlete.""

In a statement to CBS46, the restaurant stood by its dress code policy but apologized to guests they had previously turned away. According to reports, former Atlanta Hawks player Dominque Wilkins was denied entry last year.

""Our dress code (which clearly states that athletic wear is not allowed) is posted at our door, online and reiterated by our reservation team. Last spring, we relaxed our dress code to accommodate Atlanta's more casual environment and required all staff members to undergo extensive sensitivity training,"" the statement said, per the outlet.

Story continues

The statement continued: ""We never want to turn away guests, but we must treat all guests equally by providing a standard for everyone who wishes to dine with us. Our apologies to anyone who has ever been turned away.""

Jarrett told WXIA-TV he understands that places have dress codes; however, ""for my suit to be classified as athletic wear under their discretion, I just didn't think that was really fitting or correct.""

Last week, former Atlanta mayor Keisha Lance Bottoms said that she was denied service at The Captial Grille at Perimeter Mall in Georgia because she was wearing leggings, which she called ""odd.""

""Rules are the rules, just wonder if the woman who came in immediately after me, who I did not see come back out, was also denied service,"" Bottoms tweeted last Friday.

Read the original article on Insider",Taylor Ardrey,https://yahoo.com/news/wasnt-good-feeling-nfl-player-172041099.html,https://s.yimg.com/ny/api/res/1.2/gQ4z6nzAj8KHmI90F6a06A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05MDA-/https://s.yimg.com/uu/api/res/1.2/CPTmegJnSbU_KGuImu_8kA--~B/aD0zMDE1O3c9NDAyMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/insider_articles_922/89e402822a958519e8ce41ed73914fef,Yahoo,"Atlanta Falcons defensive end Grady Jarrett (97) walks off the field after an NFL football game against the New Orleans Saints, Sunday, Jan. 9, 2022, in Atlanta. Atlanta Falcons defensive end Grady Jarrett claimed that Le Bilboquet, a French restaurant located in Buckhead, turned him away on Wednesday in a now-deleted Instagram post, WSB-TV reported. Last week, former Atlanta mayor Keisha Lance Bottoms said that she was denied service at The Captial Grille at Perimeter Mall in Georgia because she was wearing leggings, which she called ""odd."""
"Falcons star, former mayor turned away from popular restaurants over dress code","An Atlanta Falcons star is calling out a well-known Buckhead restaurant after he says he was refused service because of the way he was dressed.

Linebacker Grady Jarrett said he was trying to have dinner at Le Bilboquet when a manager approached him and told him he wasn’t dressed properly.

Jarrett posted about the incident on his Instagram account over the weekend.

“Not sure if I know how my dress is offensive, maybe it’s the Gucci suit, the Bussdown AP Offshore, the iced double tennis chain w an Ankh and the fact that I pulled up in my 500k RR and they felt I wasn’t fit to bless their restaurant for dinner.. I guess the other people rocking Nike sweat suits and t shirts that were already seated (as you can see in the background of the picture) n enjoying dinner were no problem.. unfortunate but I’m not going for it.. This not even my style I’m a cool guy you should ask around.. Do better @lebilboquetatlanta,” Jarrett wrote on Instagram.

“I was embarrassed.”@AtlantaFalcons Defensive End @GradyJarrett says he was denied service at #LeBilboquet restaurant in Buckhead because of the way he was dressed. The restaurant has a dress code.

Hear from Grady and from restaurant management, beginning at 4 on Ch. 2.@wsbtv pic.twitter.com/PdoOgdGNMR — Audrey Washington (@AudreyWSBTV) April 21, 2022

[DOWNLOAD: Free WSB-TV News app for alerts as news breaks]

Channel 2′s Audrey Washington was in Buckhead Thursday, where Jarrett told her that he was hurt and embarrassed to be turned away. Jarrett said he was out with his girlfriend when they stopped at the restaurant for lunch.

Story continues

He said before they could even order, the manger walked up.

“He came up to me and looked me up and down,” Jarrett said.

Jarrett said he was wearing a Gucci track suit worth thousands of dollars -- but that didn’t stop the manager from telling him he was not dressed according to the restaurant’s dress code and asking him to leave.

“It wasn’t a good feeling,” Jarrett said.

Jarrett pointed out that other people in the background of his photo were also wearing casual clothing.

“And the people inside the restaurant as well, but I didn’t want to invade their privacy and take pictures of them,” Jarrett said.

Martin Theis manages the restaurant. He said he was not there when Jarrett was denied service, but said all patrons are asked to follow the dress code.

“We never like upsetting people with the dress code, but it’s something that we do need to maintain,” Theis said.

The dress code reads in part that sweatpants and athletic attire are not allowed.

Last year, a similar incident happened at the same restaurant when a waiter denied basketball legend Dominique Wilkins service because he was wearing a sweatsuit.

Washington asked Jarrett if he thinks the dress code should be abolished all together.

“I don’t think it should go away,” Jarrett said. “I think consistency is the most important thing. Don’t tell me not to do something and you have other people enjoying themselves doing the same thing.”

Jarrett said he wore a similar sweatsuit to the same restaurant last week and was not asked to leave.

The restaurant issued a statement to Channel 2 Action News Thursday night, saying:

“At Le Bilboquet, we value each and every patron and their unique style. However, we have a dress code to maintain a certain standard. Our dress code (which clearly states that athletic wear is not allowed) is posted at our door, online and reiterated by our reservation team. Last spring, we relaxed our dress code to accommodate Atlanta’s more casual environment and required all staff members to undergo extensive sensitivity training. We never want to turn away guests, but we must treat all guests equally by providing a standard for everyone who wishes to dine with us. Our apologies to anyone who has ever been turned away.”

Le Bilboquet isn’t the only restaurant in Atlanta that has been criticized for its dress code enforcement. Former Atlanta mayor Keisha Lance Bottoms said she was denied service at the Capitol Grille Saturday because of her leggings.

“Odd that a restaurant in a mall parking lot turns away customers in “mall” attire. Asked if I could sit in the bar area and was told, “No.” Rules are the rules, just wonder if the woman who came in immediately after me, who I did not see come back out, was also denied service,” Bottoms tweeted.

I was just turned away at @CapitalGrille at Perimeter Mall because I have on leggings. 🤷🏽‍♀️ — Keisha Lance Bottoms (@KeishaBottoms) April 15, 2022

[SIGN UP: WSB-TV Daily Headlines Newsletter]

Jarrett is also not the only Atlanta athlete who has spoken out against Le Bilboquet.

NBA Hall of Famer and Hawks legend Dominique Wilkins posted last year a photo on Twitter after the restaurant denied him service. Wilkins believed he was turned away due to the color of his skin.

The restaurant posted a statement about their dress code but later issued an apology to Wilkins.

“We want to apologize to Mr. Wilkins for his experience at our restaurant and also for any confusion our dress code may have caused. We in no way intended for him to feel unwanted, and welcome an open dialogue with him. Our upscale dining experience and our brand’s culture is made up of multiple elements, which include our music, our food and our patrons’ attire. We continue to strive to manifest our dining experience in a way that is exciting and most importantly, inclusive.”







",Wsbtv.Com News Staff,https://yahoo.com/news/falcons-star-former-mayor-turned-190616021.html,https://s.yimg.com/uu/api/res/1.2/MRqy8OorT28esgnySIEufw--~B/aD0xNjk7dz0zMDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/wsb_cox_articles_232/3c5314cf51bffecaad8b7ef0fdeda4e6,Yahoo,"An Atlanta Falcons star is calling out a well-known Buckhead restaurant after he says he was refused service because of the way he was dressed. Jarrett said he was wearing a Gucci track suit worth thousands of dollars -- but that didn’t stop the manager from telling him he was not dressed according to the restaurant’s dress code and asking him to leave. “And the people inside the restaurant as well, but I didn’t want to invade their privacy and take pictures of them,” Jarrett said. We never want to turn away guests, but we must treat all guests equally by providing a standard for everyone who wishes to dine with us. 🤷🏽‍♀️ — Keisha Lance Bottoms (@KeishaBottoms) April 15, 2022

[SIGN UP: WSB-TV Daily Headlines Newsletter]

Jarrett is also not the only Atlanta athlete who has spoken out against Le Bilboquet."
Atlanta Falcons linebacker says he was turned away from restaurant over dress code,"The Daily Beast

ABCThis week, Piers Morgan—one of former President Donald Trump’s biggest sycophants, as well as a disgraced journalist and misogynist—aired a promo for an “explosive” sit-down interview between the two that saw Trump allegedly walk off after being pressed on his 2020 presidential election lies.The promo footage for an interview that absolutely no one asked for has caused a bit of a stir in Trumpville, with the former president and reality-show host, who once also featured Morgan as a guest judg",,https://yahoo.com/news/atlanta-falcons-linebacker-says-turned-172623631.html,https://s.yimg.com/ny/api/res/1.2/jLb9Iu3uPgArf9OP6Nq0IQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/hd/cp-video-transcode/production/1cc30904-9d6b-3e04-8657-0797037589f5/2022-04-22/18-14-47/67bf4a87-732c-5bf7-9e56-f75a231200fb/stream_1920x1080x0_v2_3_0.jpg,Yahoo,"The Daily Beast

ABCThis week, Piers Morgan—one of former President Donald Trump’s biggest sycophants, as well as a disgraced journalist and misogynist—aired a promo for an “explosive” sit-down interview between the two that saw Trump allegedly walk off after being pressed on his 2020 presidential election lies. The promo footage for an interview that absolutely no one asked for has caused a bit of a stir in Trumpville, with the former president and reality-show host, who once also featured Morgan as a guest judg"
Judge dismisses lawsuit against Tiger Woods' restaurant in death of bartender in crash,"JUPITER — A Palm Beach County judge has thrown out a lawsuit accusing a Jupiter restaurant owned by golfing great Tiger Woods of causing the 2018 alcohol-fueled death of a 24-year-old bartender.

In a decision that is being challenged by a lawyer for the grieving parents of Nicholas Immesberger, Circuit Judge Samantha Schosberg-Feuer ruled that The Woods Jupiter can’t be held responsible for the single-car rollover crash that claimed the life of the young man who struggled with alcohol.

Evidence showed that Immesberger, like other employees, helped himself to pineapple slices soaked in vodka and alcoholic drinks before leaving the restaurant to head home, she wrote.

“There is no evidence that Immesberger paid The Woods, or was asked to pay, for any of the alcoholic beverages he consumed on Dec. 10, 2018,” Schosberg-Feuer said in the 15-page ruling.

Tiger Woods is an investor in a restaurant called The Woods at Harbourside in Jupiter.

A judge's unusual demand: Man who defaced Delray gay pride crosswalk must write 25-page essay on Pulse as he awaits sentence

Sober home sentencing: West Palm sober home operator gets 6 years in prison in $31.3 million health fraud scheme

Circuit judge appointed: Jupiter attorney Darren Shull named Palm Beach County's newest circuit court judge

Citing a series of Florida Supreme Court decisions, she said restaurants and bars can be held liable for a patron’s death only if they “knowingly” serve a person who is “habitually addicted” to alcohol or is a minor.

Since Immesberger wasn’t served or what Schosberger-Feuer called “vended,” the restaurant didn’t run afoul of state law, she concluded.

Attorney Barry Postman, who represents the popular Harbourside Place restaurant, applauded the ruling that was issued in March.

“We’re very pleased that the judge appropriately applied the law and found that Mr. Immesberger’s parents didn’t have a basis to bring a claim against The Woods,” he said.

Initially, both Woods and his girlfriend, Erica Herman, who managed the sprawling restaurant near the Intracoastal Waterway, were named in the lawsuit. They were dropped when no evidence surfaced that they were at the eatery on the day of the fatal crash.

Story continues

A family photo of Nicholas Immesberger, who was killed in a car crash, shown at a press conference Tuesday, May 14, 2019, where the family announced they are suing Tiger Woods, his restaurant The Woods, and his girlfriend Erica Herman. They accuse the Jupiter restaurant of serving him excessive amounts of alcohol. Herman is the general manager of The Woods, where Immesberger was employed as a bartender.

Postman voiced confidence that Schosberg-Feuer’s decision would be upheld on appeal. But an attorney for Immesberger’s parents, Mary Katherine Belowsky and Scott Duchene, disagreed.

“She ruled that if you give away free alcohol, you can’t be held liable under Florida’s Dram Shop law,” attorney Spencer Kuvin said. “I believe she is dead wrong.”

Kuvin has already appealed Schosberg-Feuer’s decision. But before the 4th District Court of Appeal reviews it, Schosberg-Feuer agreed to give the case another look.

At a hearing scheduled for June 24, she agreed to consider Kuvin’s claims that she got it wrong.

Tiger Woods, seen here celebrating his win at the 2019 Masters Tournament in August, Georgia, is an investor in the restaurant bearing his name at Harbourside Place in Jupiter.

In court papers, Kuvin said Schosberg-Feuer strayed far from past court decisions and common sense.

“No court has conclusively held that 'vendors' … are absolved from liability because (they) did not 'sell' or 'take money' from the 'habitual drunkard,’ "" Kuvin wrote. ""If this were to be the case, then vendors (bars, taverns, or restaurants) could freely hand out or pour alcohol free of charge with no consequences to its actions.""

Postman countered that Kuvin is misinterpreting both the law and Schosberg-Feuer’s ruling. The Woods didn’t ""knowingly serve” Immesberger, he wrote. Therefore, it can’t be held responsible for his death.

But, Kuvin said, at least one fellow employee said Immesberger was drunk when he left the restaurant.

In a sworn statement, server Jenna Brodeur said when she gave Immesberger a hug, ""I could smell the booze and he was sweaty.”

Managers, who knew the young man attended Alcoholics Anonymous meetings, should have stopped him from getting into his grandfather's 1999 Chevy Corvette and driving off, Kuvin argued.

But, Postman said, three other employees said they didn’t think Immesberger was intoxicated. Brodeur also said she never saw anyone serve Immesberger and didn’t know he was an alcoholic.

Postman also objected to Kuvin’s claims that Brodeur offers new evidence of wrongdoing. Kuvin has known about Brodeur since shortly after the suit was filed in 2019.

Further, he claimed, rather than shore up Kuvin's claims, Brodeur's statements underscore Schosberg-Feuer’s conclusion that the restaurant is blameless.

All sides agree that the case is incredibly tragic. Immesberger was raised by his mother, who didn’t tell him about his father until he was in his teens, Kuvin said. As he and his father were building a relationship, his younger half-brother committed suicide. His personal struggles spurred him to seek comfort in alcohol, he said.

“Nick needed help. He didn’t need encouragement for drinking,” Kuvin said.

Toxicology tests conducted after Immesberger’s death showed he had had a blood-alcohol level of 0.256 – more than three times the 0.08 percent mark at which Florida drivers are presumed to be impaired. His blood also showed traces of THC, the active ingredient in marijuana.

Woods, who was arrested on drunken driving charges after a single-vehicle crash in Jupiter in 2017 and entered a court diversion program, talked about Immesberger's death shortly after the suit was filed.

Speaking to reporters before playing in the PGA Championship golf tournament on Long Island, New York, Woods said he and the restaurant staff were devastated.

“It was a terrible night, terrible ending,” he said. “We feel bad for him and his entire family. It's very sad.""

jmusgrave@pbpost.com

This article originally appeared on Palm Beach Post: Tiger Woods' restaurant sees lawsuit in 2018 fatal crash thrown out","Jane Musgrave, Palm Beach Post",https://yahoo.com/news/judge-dismisses-lawsuit-against-tiger-215218544.html,https://s.yimg.com/ny/api/res/1.2/4L4l9iyVcCFvtX4065MMeQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05NjA-/https://s.yimg.com/uu/api/res/1.2/DX9ozeWG4uIbApKoxFhjfQ--~B/aD0yNDAwO3c9MzAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/palm-beach-daily-news/7a54395627ef97eb0f81ac1777d27102,Yahoo,"JUPITER — A Palm Beach County judge has thrown out a lawsuit accusing a Jupiter restaurant owned by golfing great Tiger Woods of causing the 2018 alcohol-fueled death of a 24-year-old bartender. In a decision that is being challenged by a lawyer for the grieving parents of Nicholas Immesberger, Circuit Judge Samantha Schosberg-Feuer ruled that The Woods Jupiter can’t be held responsible for the single-car rollover crash that claimed the life of the young man who struggled with alcohol. Evidence showed that Immesberger, like other employees, helped himself to pineapple slices soaked in vodka and alcoholic drinks before leaving the restaurant to head home, she wrote. Further, he claimed, rather than shore up Kuvin's claims, Brodeur's statements underscore Schosberg-Feuer’s conclusion that the restaurant is blameless. We feel bad for him and his entire family."
"Pittsburgh, United States - Weather Forecasts","Saturday

0 %

82 ° 55 °

Mostly sunny with a high of 81 °F (27.2 °C). Winds from WSW to SW at 7 to 9 mph (11.3 to 14.5 kph).",,https://www.yahoo.com/news/weather/united-states/pennsylvania/pittsburgh-12763647,https://s.yimg.com/os/mit/media/p/common/images/favicon_new-7483e38.svg,Yahoo,"Saturday

0 %

82 ° 55 °

Mostly sunny with a high of 81 °F (27.2 °C)."
Colorado 0 - 5 Detroit: End 5,"Shop Team Gear See more

We may receive commission from purchases made via these links. Pricing and availability are subject to change.",,https://sports.yahoo.com/mlb/colorado-rockies-detroit-tigers-420423206/,https://s.yimg.com/it/api/res/1.2/b3GZllqCpujpB6WZHdhKnA--~A/YXBwaWQ9eW5ld3M7dz0xMjAwO2g9NjMwO3E9MTAw/https://s.yimg.com/dh/ap/default/170126/DetroitTigers.jpg,Yahoo,"Shop Team Gear See more

We may receive commission from purchases made via these links."
Pittsburgh 0 - 1 Chi Cubs: End 1,"Bottom 1st

Patrick Wisdom grounded out, third to first, Willson Contreras to third, Ian Happ to second",,https://sports.yahoo.com/mlb/pittsburgh-pirates-chicago-cubs-420423116/,https://s.yimg.com/it/api/res/1.2/4RSS9v9cQMGMSYE10sqDtA--~A/YXBwaWQ9eW5ld3M7dz0xMjAwO2g9NjMwO3E9MTAw/https://s.yimg.com/xe/logos/cv/api/default/20180725/Chi-Cubs.png,Yahoo,"Bottom 1st

Patrick Wisdom grounded out, third to first, Willson Contreras to third, Ian Happ to second"
